generic_name,brand_names,substance,drug_class,product_type
"BENZOCAINE, RESORCINOL",Thera Plus Maximum Strength Feminine Anti-Itch,BENZOCAINE|RESORCINOL,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
TAMSULOSIN HYDROCHLORIDE,tamsulosin hydrochloride,TAMSULOSIN HYDROCHLORIDE,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
ALUMINUM CHLOROHYDRATE,"Sure Complete Confidence Antiperspirant Deodorant Aerosol, Unscented",ALUMINUM CHLOROHYDRATE,Unknown,HUMAN OTC DRUG
BETAMETHASONE DIPROPIONATE,Betamethasone Dipropionate,BETAMETHASONE DIPROPIONATE,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
POVIDONE-IODINE,Lights Povindone Iodine Scrub,POVIDONE-IODINE,Unknown,HUMAN OTC DRUG
CALCIUM ACETATE,Calcium Acetate,CALCIUM ACETATE,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
SACUBITRIL AND VALSARTAN,ENTRESTO,SACUBITRIL|VALSARTAN,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
PETROLATUM AND LANOLIN,VERADEX-E,LANOLIN|PETROLATUM,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
ETODOLAC,Etodolac,ETODOLAC,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
ACETAMINOPHEN,basic care acetaminophen,ACETAMINOPHEN,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
SODIUM FLUORIDE,Anticavity Rinse,SODIUM FLUORIDE,Unknown,HUMAN OTC DRUG
SERTRALINE HYDROCHLORIDE,Sertraline Hydrochloride,SERTRALINE HYDROCHLORIDE,Unknown,HUMAN PRESCRIPTION DRUG
BENZALKONIUM CHLORIDE,Antibacterial 2X,BENZALKONIUM CHLORIDE,Unknown,HUMAN OTC DRUG
ESOMEPRAZOLE MAGNESIUM,Acid Reducer,ESOMEPRAZOLE MAGNESIUM,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
"OCTISALATE, TITANIUM DIOXIDE",FOREVER SKIN GLOW 24h wear radiant foundation Perfection and hydration Concentrated floral skincare with suncreen Broad spectrum SPF 15 00,OCTISALATE|TITANIUM DIOXIDE,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
POLYETHYLENE GLYCOL 400,Foster and Thrive Dry Eye Relief,POLYETHYLENE GLYCOL 400,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
"POLYETHYLENE GLYCOL 400, TETRAHYDROZOLINE HCL",Foster and Thrive Advanced Relief Eye Drops,POLYETHYLENE GLYCOL 400|TETRAHYDROZOLINE HYDROCHLORIDE,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
NICOTINE POLACRILEX,Nicotine,NICOTINE,Unknown,HUMAN OTC DRUG
ISOPROPYL ALCOHOL,Isopropyl Alcohol,ISOPROPYL ALCOHOL,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
FLUDROCORTISONE ACETATE,Fludrocortisone Acetate,FLUDROCORTISONE ACETATE,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
LACOSAMIDE,LACOSAMIDE,LACOSAMIDE,Unknown,HUMAN PRESCRIPTION DRUG
SALICYLIC ACID,CeraVe Developed with Dermatologists Acne Control Cleanser,SALICYLIC ACID,Unknown,HUMAN OTC DRUG
NAPROXEN SODIUM 220MG,Naproxen Sodium 220mg,NAPROXEN SODIUM,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
CHLOROXYLENOL,Suds High Foaming Antiseptic Hand and Body Wash,CHLOROXYLENOL,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
CARBAMIDE PEROXIDE,Leader Earwax Removal Drops Earwax Removal Aid,CARBAMIDE PEROXIDE,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
AMPHETAMINE SULFATE,Amphetamine Sulfate,AMPHETAMINE SULFATE,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
EVEN TONE PLUS NIACINAMIDE APPLE BLOSSOM AND MANGO BUTTER DRY SPRAY 72H ANTIPERSPIRANT DEODORANT,Dove,ALUMINUM SESQUICHLOROHYDRATE,Unknown,HUMAN OTC DRUG
EVEN TONE PLUS NIACINAMIDE PEACH BLOSSOM AND RICE MILK DRY SPRAY 72H ANTIPERSPIRANT DEODORANT,Dove,ALUMINUM SESQUICHLOROHYDRATE,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
EVEN TONE PLUS NIACINAMIDE SHEA BUTTER AND VANILLA DRY SPRAY 72H ANTIPERSPIRANT DEODORANT,Dove,ALUMINUM SESQUICHLOROHYDRATE,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
"BELLIS PERENNIS, HYPERICUM PERFOMATUM,TOXICODENDRON PUBSCENS LEAF, RUTA GRAVEOLENS FLOWERING TOP",Sports For Trauma Gel,BELLIS PERENNIS|HYPERICUM PERFORATUM|RUTA GRAVEOLENS FLOWERING TOP|TOXICODENDRON PUBESCENS LEAF,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
PHENAZOPYRIDINE,Phenazopyridine Hydrochloride,PHENAZOPYRIDINE HYDROCHLORIDE,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
"AVOBENZONE, HOMOSALATE, OCTISALATE, AND OCTOCRYLENE",Olay Regenerist Regenerating with Sunscreen Broad Spectrum SPF 15,AVOBENZONE|HOMOSALATE|OCTISALATE|OCTOCRYLENE,Unknown,HUMAN OTC DRUG
ALUMINUM CHLOROHYDRATE,Roll On Anti-Perspirant (Alcohol Free),ALUMINUM CHLOROHYDRATE,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
ZINC OXIDE,Attitude Diaper Cream Zinc Unscented,ZINC OXIDE,Unknown,HUMAN OTC DRUG
FAMOTIDINE,Famotidine,FAMOTIDINE,Unknown,HUMAN PRESCRIPTION DRUG
MENTHOL,Equate Honey Lemon Cough Drops,MENTHOL,Unknown,HUMAN OTC DRUG
SODIUM FLUORIDE,Prime Tooth Care Hami Melon,SODIUM FLUORIDE,Unknown,HUMAN OTC DRUG
"CAMPHOR, MENTHOL",Dragon Pain Relieving Balm,CAMPHOR (SYNTHETIC)|MENTHOL,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
ZINC OXIDE,Eminence Radiant Protection SPF Fluid,ZINC OXIDE,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
ALUMINIUM FLUORATUM,Aluminium Fluoratum,ALUMINUM FLUORIDE,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
TETRAHYDROZOLINE HCL,Foster and Thrive Original Formula Eye Drops,TETRAHYDROZOLINE HYDROCHLORIDE,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
"CAMPHOR, MENTHOL",Dragon Pain Relieving Balm,CAMPHOR (SYNTHETIC)|MENTHOL,Unknown,HUMAN OTC DRUG
OLANZAPINE,Olanzapine,OLANZAPINE,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
ECULIZUMAB-AEEB,BKEMV,ECULIZUMAB,Unknown,HUMAN PRESCRIPTION DRUG
"ADENOSINE, NIACINAMIDE",PETITCOCHON TONE UP BODY SUN,ADENOSINE|NIACINAMIDE,Unknown,HUMAN OTC DRUG
ALUMINIUM NITRICUM,Aluminium Nitricum,ALUMINUM NITRATE,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
NITISINONE,ORFADIN,NITISINONE,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
"TITANIUM DIOXIDE, ZINC OXIDE",Neutrogena Mineral Invisible Daily Defense Face Sunscreen Broad Spectrum SPF 30,TITANIUM DIOXIDE|ZINC OXIDE,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
"ASCORBIC ACID, SODIUM FLUORIDE, VITAMIN A AND VITAMIN D",Tri-Vite Drops with Fluoride,ASCORBIC ACID|SODIUM FLUORIDE|VITAMIN A|VITAMIN D,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
ONDANSETRON HYDROCHLORIDE,ondansetron hydrochloride,ONDANSETRON HYDROCHLORIDE,Unknown,HUMAN PRESCRIPTION DRUG
"AVOBENZONE, OCTINOXATE, OCTISALATE, OCTOCRYLENE",MediChoice Moisturizing Lip Balm SPF15,AVOBENZONE|OCTINOXATE|OCTISALATE|OCTOCRYLENE,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
AZITHROMYCIN,Azithromycin,AZITHROMYCIN DIHYDRATE,Unknown,HUMAN PRESCRIPTION DRUG
DIVALPROEX SODIUM,Divalproex Sodium,DIVALPROEX SODIUM,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
METOCLOPRAMIDE,Metoclopramide,METOCLOPRAMIDE HYDROCHLORIDE,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
EVEN TONE PLUS NIACINAMIDE PEACH BLOSSOM AND RICE MILK ANTIPERSPIRANT DEODORANT,Dove,ALUMINUM ZIRCONIUM TETRACHLOROHYDREX GLY,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
EVEN TONE PLUS NIACINAMIDE APPLE BLOSSOM AND MANGO BUTTER ANTIPERSPIRANT DEODORANT,Dove,ALUMINUM ZIRCONIUM TETRACHLOROHYDREX GLY,Unknown,HUMAN OTC DRUG
EVEN TONE PLUS NIACINAMIDE SHEA BUTTER AND VANILLA ANTIPERSPIRANT DEODORANT,Dove,ALUMINUM ZIRCONIUM TETRACHLOROHYDREX GLY,Unknown,HUMAN OTC DRUG
ACETAMINOPHEN,Acetaminophen,ACETAMINOPHEN,Unknown,HUMAN OTC DRUG
EVEN TONE PLUS NIACINAMIDE ROSEWOOD AND POWDER ANTIPERSPIRANT DEODORANT,Dove,ALUMINUM ZIRCONIUM TETRACHLOROHYDREX GLY,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
DIPHENHYDRAMINE HCL,Childrens Allergy Relief,DIPHENHYDRAMINE HCL,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
LAMOTRIGINE,Lamotrigine,LAMOTRIGINE,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
FIRST AID BURN CREAM,First Aid Burn Cream,BENZALKONIUM CHLORIDE|LIDOCAINE HYDROCHLORIDE,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
LORATADINE,allergy relief,LORATADINE,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
CISPLATIN,Cisplatin,CISPLATIN,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
"OCTINOXATE, OXYBENZONE",Artistry Youth Xtend Lifting Smoothing Foundation Shade Chiffon L2C1,OCTINOXATE|OXYBENZONE,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
MENTHOL,Equate SF Menthol Cough Drops,MENTHOL,Unknown,HUMAN OTC DRUG
MAGNESIUM HYDROXIDE,MILK OF MAGNESIA,MAGNESIUM HYDROXIDE,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
NICOTINE POLACRILEX,Nicotine Polacrilex,NICOTINE,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
PYRITHIONE ZINC,Head and Shoulders Bare Minimal Ingredients,PYRITHIONE ZINC,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
PYRITHIONE ZINC,Head and Shoulders Bare Minimal Ingredients Soothing Hydration,PYRITHIONE ZINC,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
AMLODIPINE BESYLATE,Amlodipine Besylate,AMLODIPINE BESYLATE,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
SUNSCREEN,Private Label Moisturizing Oil Free Paraben Free SPF43,OCTINOXATE|OCTISALATE|ZINC OXIDE,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
ALUMINIUM PHOSPHORICUM,Aluminium Phosphoricum,ALUMINUM PHOSPHATE,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
PERPHENAZINE,perphenazine,PERPHENAZINE,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
ALUMINUM SESQUICHLOROHYDRATE,Power Stick For Her Roll- On Antiperspirant Deodorant Powder Fresh,ALUMINUM SESQUICHLOROHYDRATE,Unknown,HUMAN OTC DRUG
NAPROXEN,Naproxen,NAPROXEN,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
"POLYETHYLENE GLYCOL 400, PROPYLENE GLYCOL",Foster and Thrive Lubricating Tears Lubricant Eye Drops,POLYETHYLENE GLYCOL 400|PROPYLENE GLYCOL,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
"GLYCERIN, NAPHAZOLINE HCL",Foster and Thrive Redness Relief Eye Drops,GLYCERIN|NAPHAZOLINE HYDROCHLORIDE,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
"ACETAMINOPHEN, DEXTROMETHORPHAN HBR, PHENYLEPHRINE HCL",Daytime Cold and Flu,ACETAMINOPHEN|DEXTROMETHORPHAN HYDROBROMIDE|PHENYLEPHRINE HYDROCHLORIDE,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
RIVASTIGMINE TARTRATE,Rivastigmine Tartrate,RIVASTIGMINE TARTRATE,Unknown,HUMAN PRESCRIPTION DRUG
KETOROLAC TROMETHAMINE,Ketorolac Tromethamine,KETOROLAC TROMETHAMINE,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
SINUSITIS DROPS,Sinusitis Drops 2060,BLACK MUSTARD SEED|CALCIUM SULFIDE|EUPHORBIA RESINIFERA RESIN|GUAIAC|LUFFA OPERCULATA FRUIT|MERCURIC SULFIDE|POTASSIUM DICHROMATE|PULSATILLA MONTANA WHOLE|SILICON DIOXIDE,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
"BAPTISIA TINCTORIA, ECHINACEA (ANGUSTIFOLIA), ADRENALINUM, ALLIUM CEPA, AMBROSIA ARTEMISIAEFOLIA, ARSENICUM ALBUM, EUPHRASIA OFFICINALIS, HISTAMINUM HYDROCHLORICUM, NATRUM MURIATICUM, NATRUM SULPHURICUM, NUX VOMICA, PHOSPHORUS, PULSATILLA (PRATENSIS), SABADILLA, SINAPIS NIGRA, SOLIDAGO VIRGAUREA, SULPHUR, WYETHIA HELENIOIDES",Histastat Pollen,AMBROSIA ARTEMISIIFOLIA WHOLE|ARSENIC TRIOXIDE|BAPTISIA TINCTORIA ROOT|BLACK MUSTARD SEED|ECHINACEA ANGUSTIFOLIA WHOLE|EPINEPHRINE|EUPHRASIA STRICTA|HISTAMINE DIHYDROCHLORIDE|ONION|PHOSPHORUS|PULSATILLA PRATENSIS WHOLE|SCHOENOCAULON OFFICINALE SEED|SODIUM CHLORIDE|SODIUM SULFATE|SOLIDAGO VIRGAUREA FLOWERING TOP|STRYCHNOS NUX-VOMICA SEED|SULFUR|WYETHIA HELENIOIDES ROOT,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
DIMETHICONE,Baby XtraCare Oatmeal,DIMETHICONE,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
TEENS STRAWBERRY SPARKLE 48H ANTIPERSPIRANT,Dove,ALUMINUM SESQUICHLOROHYDRATE,Unknown,HUMAN OTC DRUG
ADVANCED COCONUT WATER AND LIME DRY SPRAY 72H ANTIPERSPIRANT DEODORANT,Dove,ALUMINUM SESQUICHLOROHYDRATE,Unknown,HUMAN OTC DRUG
"BURN EASE, 3.5G","Burn Ease, 3.5g",LIDOCAINE HYDROCHLORIDE,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
DIPYRIDAMOLE,Dipyridamole,DIPYRIDAMOLE,Unknown,HUMAN PRESCRIPTION DRUG
NAPROXEN,Naproxen,NAPROXEN,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
ALCOHOL,Degasa Hand Sanitizer Lemon Lime Scent,ALCOHOL,Unknown,HUMAN OTC DRUG
ACETAMINOPHEN,Acetaminophen,ACETAMINOPHEN,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
"PS-3885 BURN EASE, 3.5G","PS-3885 Burn Ease, 3.5g",LIDOCAINE HYDROCHLORIDE,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
"PS-3866 BURN EASE, 0.9G","PS-3866 Burn Ease, 0.9g",LIDOCAINE HYDROCHLORIDE,Unknown,HUMAN OTC DRUG
"DEXTROMETHORPHAN HBR, GUAIFENESIN",Rompe Pechito DM for Kids,DEXTROMETHORPHAN HYDROBROMIDE|GUAIFENESIN,Unknown,HUMAN OTC DRUG
CASTOR OIL,Foster and Thrive Castor Oil,CASTOR OIL,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
BUPROPION HYDROCHLORIDE,buPropion Hydrochloride XL,BUPROPION HYDROCHLORIDE,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
LORATADINE,loratadine,LORATADINE,Unknown,HUMAN OTC DRUG
TRAMADOL HYDROCHLORIDE,TRAMADOL HYDROCHLORIDE,TRAMADOL HYDROCHLORIDE,Unknown,HUMAN PRESCRIPTION DRUG
"AVOBENZONE, OCTISALATE, OCTOCRYLENE, HOMOSALATE",Triple Prep SPF 40,AVOBENZONE|HOMOSALATE|OCTISALATE|OCTOCRYLENE,Unknown,HUMAN OTC DRUG
BROMPHENIRAMINE MALEATE,CVS PHARMACY Childrens Cold and Allergy,BROMPHENIRAMINE MALEATE,Unknown,HUMAN OTC DRUG
LORLATINIB,Lorbrena,LORLATINIB,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
ALLOPURINOL,Allopurinol,ALLOPURINOL,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
"GLYCERIN 14.4%, LIDOCAINE 5%, PETROLATUM 15%, PHENYLEPHRINE HCL 0.25%",DCH Hemorrhoidal,GLYCERIN|LIDOCAINE|PETROLATUM|PHENYLEPHRINE HYDROCHLORIDE,Unknown,HUMAN OTC DRUG
SIMETHICONE,Gas Relief Ultra Strength,DIMETHICONE,Unknown,HUMAN OTC DRUG
LIDOCAINE HYDROCHLORIDE,Lidocaine Hydrochloride,LIDOCAINE HYDROCHLORIDE,Unknown,HUMAN PRESCRIPTION DRUG
ALUMINIUM SULPHURICUM,Aluminium Sulphuricum,ALUMINUM SULFATE,Unknown,HUMAN OTC DRUG
"PS - 2895 TRIPLE ANTIBIOTIC , 0.5G","PS - 2895 Triple Antibiotic , 0.5g",BACITRACIN ZINC|NEOMYCIN SULFATE|POLYMYXIN B SULFATE,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
AMANITA PANTHERINA,Amanita Pantherina,AMANITA PANTHERINA FRUITING BODY,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
CLOTRIMAZOLE,Clotrimazole,CLOTRIMAZOLE,Unknown,HUMAN OTC DRUG
DICLOFENAC SODIUM,Diclofenac Sodium,DICLOFENAC SODIUM,Unknown,HUMAN OTC DRUG
TOCILIZUMAB,Tofidence,TOCILIZUMAB,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
AMMONIUM BROMATUM,Ammonium Bromatum,AMMONIUM BROMIDE,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
"AVOBENZONE,HOMOSALATE,OCTISALATE,OCTOCRYLENE",KIZO LAB UV DEFENSE CLEAR SUNSCREN SPF50,AVOBENZONE|HOMOSALATE|OCTISALATE|OCTOCRYLENE,Unknown,HUMAN OTC DRUG
AMMONIUM CARBONICUM,Ammonium Carbonicum,AMMONIUM CARBONATE,Unknown,HUMAN OTC DRUG
"POLYETHYLENE GLYCOL 400, PROPYLENE GLYCOL",Foster and Thrive Long Lasting Lubricant Eye Drops,POLYETHYLENE GLYCOL 400|PROPYLENE GLYCOL,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
"MENTHOL, METHYL SALICYLATE",Mentholatum Pain Relieving,"MENTHOL, UNSPECIFIED FORM|METHYL SALICYLATE",Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
OMEPRAZOLE,Omeprazole,OMEPRAZOLE,Unknown,HUMAN OTC DRUG
ASPIRIN,Low Dose Aspirin,ASPIRIN,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
"OCTOCRYLENE, OCTISALATE, AND AVOBENZONE",Reef Kids SPF 30 Oxybenzone Free,AVOBENZONE|OCTISALATE|OCTOCRYLENE,Unknown,HUMAN OTC DRUG
OSELTAMIVIR PHOSPHATE,Oseltamivir Phosphate,OSELTAMIVIR PHOSPHATE,Unknown,HUMAN PRESCRIPTION DRUG
DOXYLAMINE SUCCINATE,Sleep Aid,DOXYLAMINE SUCCINATE,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
ACETAMINOPHEN,Extra Strength Pain Relief,ACETAMINOPHEN,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
LAMIVUDINE AND ZIDOVUDINE,LAMIVUDINE and ZIDOVUDINE,LAMIVUDINE|ZIDOVUDINE,Unknown,HUMAN PRESCRIPTION DRUG
PEDICULICIDE,Vamousse Pro Total Lice Emergency Kit,,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
PREDNISONE,PredniSONE,PREDNISONE,Unknown,HUMAN PRESCRIPTION DRUG
ATROPINE SULFATE,ATROPINE SULFATE,ATROPINE SULFATE,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
POTASSIUM CHLORIDE,Potassium Chloride,POTASSIUM CHLORIDE,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
CROMOLYN SODIUM,Gastrocrom,CROMOLYN SODIUM,Unknown,HUMAN PRESCRIPTION DRUG
