drug_a,drug_b,severity,description,raw_text
NAPROXEN,Intervention,unknown,"This effect should be kept in mind when bleeding times are determined. Porter-Silber test Clinical Impact: The administration of naproxen may result in increased urinary values for 17-ketogenic steroids because of an interaction between the drug and/or its metabolites with m-di-nitrobenzene used in this assay. Intervention: Although 17-hydroxy-corticosteroid measurements (Porter-Silber test) do not appear to be artifactually altered, it is suggested that therapy with naproxen be temporarily discontinued 72 hours before adrenal function tests are performed if the Porter-Silber test is to be used",7 DRUG INTERACTIONS See Table 1 for clinically significant drug interactions with naproxen. Table 1: Clinically Significant Drug Interactions with naproxen Drugs That Interfere with Hemostasis Clinical Impact: • Naproxen and anticoagulants such as warfarin have a synergistic effect on bleeding. The concomitant use of naproxen and anticoagulants have an increased risk of serious bleeding compared to the use of either drug alone. • Serotonin release by platelets plays an important role in hemostas
NAPROXEN,Clinical Impact,unknown,Naproxen may interfere with some urinary assays of 5-hydroxy indoleacetic acid (5HIAA). Intervention: This effect should be kept in mind when urinary 5-hydroxy indoleacetic acid is determined. Drugs that Interfere with Hemostasis (e,7 DRUG INTERACTIONS See Table 1 for clinically significant drug interactions with naproxen. Table 1: Clinically Significant Drug Interactions with naproxen Drugs That Interfere with Hemostasis Clinical Impact: • Naproxen and anticoagulants such as warfarin have a synergistic effect on bleeding. The concomitant use of naproxen and anticoagulants have an increased risk of serious bleeding compared to the use of either drug alone. • Serotonin release by platelets plays an important role in hemostas
NAPROXEN,Blockers,moderate,"Concomitant use with naproxen tablets or naproxen sodium tablets may diminish the antihypertensive effect of these drugs. Monitor blood pressure. ( 7 ) ACE Inhibitors and ARBs: Concomitant use with naproxen tablets or naproxen sodium tablets in elderly, volume depleted, or those with renal impairment may result in deterioration of renal function",7 DRUG INTERACTIONS See Table 1 for clinically significant drug interactions with naproxen. Table 1: Clinically Significant Drug Interactions with naproxen Drugs That Interfere with Hemostasis Clinical Impact: • Naproxen and anticoagulants such as warfarin have a synergistic effect on bleeding. The concomitant use of naproxen and anticoagulants have an increased risk of serious bleeding compared to the use of either drug alone. • Serotonin release by platelets plays an important role in hemostas
NAPROXEN,Diuretics,moderate,NSAIDs can reduce natriuretic effect of furosemide and thiazide diuretics. Monitor patients to assure diuretic efficacy including antihypertensive effects. ( 7 ) Digoxin: Concomitant use with naproxen tablets or naproxen sodium tablets can increase serum concentration and prolong half-life of digoxin,7 DRUG INTERACTIONS See Table 1 for clinically significant drug interactions with naproxen. Table 1: Clinically Significant Drug Interactions with naproxen Drugs That Interfere with Hemostasis Clinical Impact: • Naproxen and anticoagulants such as warfarin have a synergistic effect on bleeding. The concomitant use of naproxen and anticoagulants have an increased risk of serious bleeding compared to the use of either drug alone. • Serotonin release by platelets plays an important role in hemostas
GLIMEPIRIDE,Miconazole,major,Severe hypoglycemia can occur when glimepiride and oral miconazole are used concomitantly. ( 7.2 ),"7 DRUG INTERACTIONS Certain medications may affect glucose metabolism, requiring glimepiride tablets dose adjustment and close monitoring of blood glucose ( 7.1 ). Miconazole: Severe hypoglycemia can occur when glimepiride and oral miconazole are used concomitantly. ( 7.2 ). Cytochrome P450 2C9 interactions: Inhibitors and inducers of cytochrome P450 2C9 may affect glycemic control by altering glimepiride plasma concentrations ( 7.3 ). Colesevelam: Coadministration may reduce glimepiride absorpt"
GLIMEPIRIDE,interactions,unknown,Inhibitors and inducers of cytochrome P450 2C9 may affect glycemic control by altering glimepiride plasma concentrations ( 7.3 ). Colesevelam: Coadministration may reduce glimepiride absorption,"7 DRUG INTERACTIONS Certain medications may affect glucose metabolism, requiring glimepiride tablets dose adjustment and close monitoring of blood glucose ( 7.1 ). Miconazole: Severe hypoglycemia can occur when glimepiride and oral miconazole are used concomitantly. ( 7.2 ). Cytochrome P450 2C9 interactions: Inhibitors and inducers of cytochrome P450 2C9 may affect glycemic control by altering glimepiride plasma concentrations ( 7.3 ). Colesevelam: Coadministration may reduce glimepiride absorpt"
GLIMEPIRIDE,or intensity of hypoglycemia,moderate,"oral anti-diabetic medications, pramlintide acetate, insulin, angiotensin converting enzyme (ACE) inhibitors, H 2 receptor antagonists, fibrates, propoxyphene, pentoxifylline, somatostatin analogs, anabolic steroids and androgens, cyclophosphamide, phenyramidol, guanethidine, fluconazole, sulfinpyrazone, tetracyclines, clarithromycin, disopyramide, quinolones, and those drugs that are highly protein-bound, such as fluoxetine, nonsteroidal anti-inflammatory drugs, salicylates, sulfonamides, chloramphenicol, coumarins, probenecid and monoamine oxidase inhibitors. When these medications are administered to a patient receiving glimepiride, monitor the patient closely for hypoglycemia. When these medications are withdrawn from a patient receiving glimepiride, monitor the patient closely for worsening glycemic control","7 DRUG INTERACTIONS Certain medications may affect glucose metabolism, requiring glimepiride tablets dose adjustment and close monitoring of blood glucose ( 7.1 ). Miconazole: Severe hypoglycemia can occur when glimepiride and oral miconazole are used concomitantly. ( 7.2 ). Cytochrome P450 2C9 interactions: Inhibitors and inducers of cytochrome P450 2C9 may affect glycemic control by altering glimepiride plasma concentrations ( 7.3 ). Colesevelam: Coadministration may reduce glimepiride absorpt"
GLIMEPIRIDE,leading to worsening glycemic control,unknown,"danazol, glucagon, somatropin, protease inhibitors, atypical antipsychotic medications (e.g., olanzapine and clozapine), barbiturates, diazoxide, laxatives, rifampin, thiazides and other diuretics, corticosteroids, phenothiazines, thyroid hormones, estrogens, oral contraceptives, phenytoin, nicotinic acid, sympathomimetics (e","7 DRUG INTERACTIONS Certain medications may affect glucose metabolism, requiring glimepiride tablets dose adjustment and close monitoring of blood glucose ( 7.1 ). Miconazole: Severe hypoglycemia can occur when glimepiride and oral miconazole are used concomitantly. ( 7.2 ). Cytochrome P450 2C9 interactions: Inhibitors and inducers of cytochrome P450 2C9 may affect glycemic control by altering glimepiride plasma concentrations ( 7.3 ). Colesevelam: Coadministration may reduce glimepiride absorpt"
Unknown,see PRECAUTIONS,unknown,Drug Interactions ). Doses of clarithromycin greater than 1000 mg per day should not be co-administered with protease inhibitors. Spontaneous reports in the post-marketing period suggest that concomitant administration of clarithromycin and oral anticoagulants may potentiate the effects of the oral anticoagulants,Drug Interactions Clarithromycin use in patients who are receiving theophylline may be associated with an increase of serum theophylline concentrations. Monitoring of serum theophylline concentrations should be considered for patients receiving high doses of theophylline or with baseline concentrations in the upper therapeutic range. In two studies in which theophylline was administered with clarithromycin (a theophylline sustained-release formulation was dosed at either 6.5 mg/kg or 12 mg/kg to
Unknown,see PRECAUTIONS,unknown,"Drug Interactions ). Doses of clarithromycin greater than 1000 mg per day should not be co-administered with protease inhibitors. Itraconazole Both clarithromycin and itraconazole are substrates and inhibitors of CYP3A, potentially leading to a bidirectional drug interaction when administered concomitantly",Drug Interactions Clarithromycin use in patients who are receiving theophylline may be associated with an increase of serum theophylline concentrations. Monitoring of serum theophylline concentrations should be considered for patients receiving high doses of theophylline or with baseline concentrations in the upper therapeutic range. In two studies in which theophylline was administered with clarithromycin (a theophylline sustained-release formulation was dosed at either 6.5 mg/kg or 12 mg/kg to
Unknown,see PRECAUTIONS,moderate,Drug Interactions ). The following CYP3A based drug interactions have been observed with erythromycin products and/or with clarithromycin in post-marketing experience: Antiarrhythmics There have been postmarketing reports of torsades de pointes occurring with concurrent use of clarithromycin and quinidine or disopyramide. Electrocardiograms should be monitored for QTc prolongation during coadministration of clarithromycin with these drugs,Drug Interactions Clarithromycin use in patients who are receiving theophylline may be associated with an increase of serum theophylline concentrations. Monitoring of serum theophylline concentrations should be considered for patients receiving high doses of theophylline or with baseline concentrations in the upper therapeutic range. In two studies in which theophylline was administered with clarithromycin (a theophylline sustained-release formulation was dosed at either 6.5 mg/kg or 12 mg/kg to
VARENICLINE,Other Smoking Cessation Therapies,unknown,Safety and efficacy in combination with other smoking cessation therapies has not been established. Coadministration of varenicline and transdermal nicotine resulted in a high rate of discontinuation due to adverse events. ( 7,"7 DRUG INTERACTIONS Based on varenicline characteristics and clinical experience to date, varenicline has no clinically meaningful pharmacokinetic drug interactions [see Clinical Pharmacology (12.3) ]. Other Smoking Cessation Therapies: Safety and efficacy in combination with other smoking cessation therapies has not been established. Coadministration of varenicline and transdermal nicotine resulted in a high rate of discontinuation due to adverse events. ( 7.1 ) Effect of Smoking Cessation on O"
VARENICLINE,Effect of Smoking Cessation on Other Drugs,unknown,"Pharmacokinetics or pharmacodynamics of certain drugs (e.g., theophylline, warfarin, insulin) may be altered, necessitating dose adjustment","7 DRUG INTERACTIONS Based on varenicline characteristics and clinical experience to date, varenicline has no clinically meaningful pharmacokinetic drug interactions [see Clinical Pharmacology (12.3) ]. Other Smoking Cessation Therapies: Safety and efficacy in combination with other smoking cessation therapies has not been established. Coadministration of varenicline and transdermal nicotine resulted in a high rate of discontinuation due to adverse events. ( 7.1 ) Effect of Smoking Cessation on O"
Unknown,Warfarin,unknown,Combination use increases risk of bleeding. ( 7.3 ) 7,"7 DRUG INTERACTIONS CYP2C19 inhibitors (e.g., omeprazole): Avoid concomitant use. ( 7.1 ) Nonsteroidal anti-inflammatory drugs (NSAIDs): Combination use increases risk of gastrointestinal bleeding. ( 7.2 ) Warfarin: Combination use increases risk of bleeding. ( 7.3 ) 7.1 CYP2C19 Inhibitors Clopidogrel is metabolized to its active metabolite in part by CYP2C19. Concomitant use of drugs that inhibit the activity of this enzyme results in reduced plasma concentrations of the active metabolite of cl"
Unknown,Drug Interactions,moderate,"Although the pressor activity of desmopressin acetate is very low compared to its antidiuretic activity, large doses of desmopressin acetate tablets should be used with other pressor agents only with careful patient monitoring","Drug Interactions: Although the pressor activity of desmopressin acetate is very low compared to its antidiuretic activity, large doses of desmopressin acetate tablets should be used with other pressor agents only with careful patient monitoring."
SACUBITRIL AND VALSARTAN,sparing diuretics,unknown,May lead to increased serum potassium. ( 7.2 ) Nonsteroidal Anti-Inflammatory Drugs (NSAIDs): May lead to increased risk of renal impairment,7 DRUG INTERACTIONS Avoid concomitant use with aliskiren in patients with estimated glomerular filtration rate (eGFR) less than 60. ( 7.1 ) Potassium-sparing diuretics: May lead to increased serum potassium. ( 7.2 ) Nonsteroidal Anti-Inflammatory Drugs (NSAIDs): May lead to increased risk of renal impairment. ( 7.3 ) Lithium: Increased risk of lithium toxicity. ( 7.4 ) 7.1 Dual Blockade of the Renin-Angiotensin-Aldosterone System Concomitant use of ENTRESTO with an ACE inhibitor is contraindicat
SACUBITRIL AND VALSARTAN,Lithium,unknown,Increased risk of lithium toxicity. ( 7.4 ) 7,7 DRUG INTERACTIONS Avoid concomitant use with aliskiren in patients with estimated glomerular filtration rate (eGFR) less than 60. ( 7.1 ) Potassium-sparing diuretics: May lead to increased serum potassium. ( 7.2 ) Nonsteroidal Anti-Inflammatory Drugs (NSAIDs): May lead to increased risk of renal impairment. ( 7.3 ) Lithium: Increased risk of lithium toxicity. ( 7.4 ) 7.1 Dual Blockade of the Renin-Angiotensin-Aldosterone System Concomitant use of ENTRESTO with an ACE inhibitor is contraindicat
Unknown,antagonist and partial agonist opioid analgesics,unknown,Avoid use with OXYCONTIN because they may reduce analgesic effect of OXYCONTIN or precipitate withdrawal symptoms. ( 7.4 ) 7,"7 DRUG INTERACTIONS Mixed agonist/antagonist and partial agonist opioid analgesics: Avoid use with OXYCONTIN because they may reduce analgesic effect of OXYCONTIN or precipitate withdrawal symptoms. ( 7.4 ) 7.1 CNS Depressants The concomitant use of OXYCONTIN and other CNS depressants including sedatives, hypnotics, tranquilizers, general anesthetics, phenothiazines, other opioids, and alcohol can increase the risk of respiratory depression, profound sedation, coma, or death. Monitor patients re"
SERTRALINE HYDROCHLORIDE,Serotonergic Drugs,unknown,"see CONTRAINDICATIONS , WARNINGS and DOSAGE AND ADMINISTRATION . Triptans: There have been rare post marketing reports of serotonin syndrome with use of an SNRI or an SSRI and a triptan. If concomitant treatment of SNRIs and SSRIs, including sertraline hydrochloride, with a triptan is clinically warranted, careful observation of the patient is advised, particularly during treatment initiation and dose increases (see WARNINGS – Serotonin Syndrome)","Drug Interactions Potential Effects of Coadministration of Drugs Highly Bound to Plasma Proteins –Because sertraline is tightly bound to plasma protein, the administration of sertraline hydrochloride to a patient taking another drug which is tightly bound to protein (e.g., warfarin, digitoxin) may cause a shift in plasma concentrations potentially resulting in an adverse effect. Conversely, adverse effects may result from displacement of protein bound sertraline hydrochloride by other tightly bo"
SERTRALINE HYDROCHLORIDE,based on the following assays,unknown,"bacterial mutation assay; mouse lymphoma mutation assay; and tests for cytogenetic aberrations in vivo in mouse bone marrow and in vitro in human lymphocytes. Impairment of Fertility –A decrease in fertility was seen in one of two rat studies at a dose of 80 mg/kg (4 times the maximum recommended human dose on a mg/m 2 basis). Pregnancy–Pregnancy Category C –Reproduction studies have been performed in rats and rabbits at doses up to 80 mg/kg/day and 40 mg/kg/day, respectively","Drug Interactions Potential Effects of Coadministration of Drugs Highly Bound to Plasma Proteins –Because sertraline is tightly bound to plasma protein, the administration of sertraline hydrochloride to a patient taking another drug which is tightly bound to protein (e.g., warfarin, digitoxin) may cause a shift in plasma concentrations potentially resulting in an adverse effect. Conversely, adverse effects may result from displacement of protein bound sertraline hydrochloride by other tightly bo"
SERTRALINE HYDROCHLORIDE,see WARNINGS,unknown,"Serotonin Syndrome). Infants exposed to SSRIs in pregnancy may have an increased risk for persistent pulmonary hypertension of the newborn (PPHN). PPHN occurs in 1 – 2 per 1,000 live births in the general population and is associated with substantial neonatal morbidity and mortality","Drug Interactions Potential Effects of Coadministration of Drugs Highly Bound to Plasma Proteins –Because sertraline is tightly bound to plasma protein, the administration of sertraline hydrochloride to a patient taking another drug which is tightly bound to protein (e.g., warfarin, digitoxin) may cause a shift in plasma concentrations potentially resulting in an adverse effect. Conversely, adverse effects may result from displacement of protein bound sertraline hydrochloride by other tightly bo"
Unknown,Anesthetics,unknown,"The depression of cardiac contractility, conductivity, and automaticity, as well as the vascular dilation associated with anesthetics, may be potentiated by calcium channel blockers. When used concomitantly, anesthetics and calcium blockers should be titrated carefully. Benzodiazepines: Studies showed that diltiazem increased the AUC of midazolam and triazolam by 3- to 4-fold and the C max by 2-fold, compared to placebo","Drug Interactions Due to the potential for additive effects, caution and careful titration are warranted in patients receiving diltiazem concomitantly with any agents known to affect cardiac contractility and/or conduction (see WARNINGS ). Pharmacologic studies indicate that there may be additive effects in prolonging AV conduction when using beta-blockers or digitalis concomitantly with diltiazem (see WARNINGS ). As with all drugs, care should be exercised when treating patients with multiple m"
Unknown,blockers,unknown,"Controlled and uncontrolled domestic studies suggest that concomitant use of diltiazem and beta-blockers is usually well tolerated. Available data are not sufficient, however, to predict the effects of concomitant treatment, particularly in patients with left ventricular dysfunction or cardiac conduction abnormalities. Administration of diltiazem concomitantly with propranolol in five normal volunteers resulted in increased propranolol levels in all subjects, and bioavailability of propranolol was increased approximately 50%","Drug Interactions Due to the potential for additive effects, caution and careful titration are warranted in patients receiving diltiazem concomitantly with any agents known to affect cardiac contractility and/or conduction (see WARNINGS ). Pharmacologic studies indicate that there may be additive effects in prolonging AV conduction when using beta-blockers or digitalis concomitantly with diltiazem (see WARNINGS ). As with all drugs, care should be exercised when treating patients with multiple m"
Unknown,Buspirone,major,"In nine healthy subjects, diltiazem significantly increased the mean buspirone AUC 5.5-fold and C max 4.1-fold compared to placebo","Drug Interactions Due to the potential for additive effects, caution and careful titration are warranted in patients receiving diltiazem concomitantly with any agents known to affect cardiac contractility and/or conduction (see WARNINGS ). Pharmacologic studies indicate that there may be additive effects in prolonging AV conduction when using beta-blockers or digitalis concomitantly with diltiazem (see WARNINGS ). As with all drugs, care should be exercised when treating patients with multiple m"
